event_id,camera_id,lane_id,LPN,LPJ,LPT,LPN_OCRval,LPJ_OCRval,LPT_OCRval,LPN_score,LPJ_score,LPT_score,weighted_score,baseline_tau_weighted,baseline_tau_or,LPN_thresh,LPJ_thresh,LPT_thresh,decision_weighted_baseline,decision_or_adaptive,feedback_source,error_label,overall_correct
s0-c1-51,CAM-1,1,FZN9372,NM,TRAILER,FZN9372,NM,GOV,94.567,90.832,54.871,87.305,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-52,CAM-1,1,TMT6012,OK,TEMP,TMT6012,OK,TEMP,96.311,85.776,52.180,86.004,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-53,CAM-1,1,IYI7462,NM,TEMP,IYI7462,NM,TEMP,92.237,86.621,47.301,83.531,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-54,CAM-1,1,GRY3189,CA,GOV,GRY3189,CA,GOV,93.255,85.854,48.608,83.968,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-55,CAM-1,1,HNX4141,OK,GOV,HNX4141,OK,GOV,88.920,87.709,54.220,83.291,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-56,CAM-1,1,MBO3274,NV,TEMP,MBO3274,NV,TEMP,88.271,83.317,53.564,81.331,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-57,CAM-1,1,OPK3921,CO,TEMP,OPK3921,CO,TRAILER,90.707,86.354,47.767,82.742,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-58,CAM-1,1,GAW8079,CO,COMMERCIAL,GAW8079,CO,COMMERCIAL,93.548,89.603,48.558,85.419,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-59,CAM-1,1,XSL2587,CA,TEMP,XSL2587,CA,COMMERCIAL,93.296,85.650,51.222,84.309,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-60,CAM-1,1,XTQ9126,NV,COMMERCIAL,XTQ9126,NV,GOV,89.421,91.308,50.990,84.317,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-61,CAM-1,1,XKZ3416,OK,COMMERCIAL,XKZ3416,OK,TRAILER,88.867,86.813,47.827,81.992,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-62,CAM-1,1,IGV4861,NV,TEMP,IGV4861,NV,TEMP,91.059,88.904,46.856,83.674,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-63,CAM-1,1,VFL1731,OK,GOV,VFL1731,CA,TEMP,92.518,86.804,55.186,84.918,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-64,CAM-1,1,OLT4271,CO,COMMERCIAL,OLT4271,CO,COMMERCIAL,89.021,85.656,49.989,81.989,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-65,CAM-1,1,EXA1524,AZ,PASSENGER,EXA1524,AZ,PASSENGER,91.757,84.924,51.067,83.262,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-66,CAM-1,1,TUO9783,NM,COMMERCIAL,TUO9783,NM,PASSENGER,89.526,85.856,50.614,82.405,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-67,CAM-1,1,XUD3770,NM,TEMP,XUD3770,NM,PASSENGER,93.779,86.321,50.559,84.686,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-68,CAM-1,1,DXR1171,CO,GOV,DPR1171,CO,GOV,89.005,82.821,48.355,80.743,81.000,47.000,83.745,78.847,43.067,review,auto_clear,none,,0
s0-c1-69,CAM-1,1,SAQ3264,CO,TRAILER,SAQ3264,CO,TRAILER,93.746,87.097,50.357,84.911,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-70,CAM-1,1,CKD7771,AZ,COMMERCIAL,CKD7771,AZ,COMMERCIAL,91.624,86.192,48.671,83.280,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-71,CAM-1,1,ZUV0361,TX,TEMP,ZUV0361,TX,TEMP,92.298,90.645,51.646,85.622,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-72,CAM-1,1,BHK1300,AZ,TRAILER,BHK1300,AZ,TRAILER,93.095,86.969,49.033,84.342,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-73,CAM-1,1,ZHU3466,OK,TRAILER,ZHU3466,OK,GOV,91.531,85.514,50.247,83.233,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-74,CAM-1,1,WKV2292,NM,COMMERCIAL,WKV2292,NM,TRAILER,95.431,86.518,47.471,85.117,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-75,CAM-1,1,ESR1497,FL,GOV,ESR1497,FL,GOV,94.492,87.747,49.884,85.440,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-76,CAM-1,1,EZN5803,NM,COMMERCIAL,EZN5803,NM,COMMERCIAL,92.822,86.494,51.898,84.468,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-77,CAM-1,1,VOC4959,FL,COMMERCIAL,VOC4959,FL,TEMP,89.177,87.126,49.152,82.455,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-78,CAM-1,1,NGR7643,NM,COMMERCIAL,NGR7643,NM,COMMERCIAL,90.760,85.157,55.357,83.489,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-79,CAM-1,1,NZB6319,NM,PASSENGER,NZB6319,NM,COMMERCIAL,89.836,87.082,49.248,82.784,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-80,CAM-1,1,HWV9113,CA,TEMP,HWV9113,CA,TEMP,92.361,94.389,50.635,86.812,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-81,CAM-1,1,EWW4788,CA,COMMERCIAL,EWW4788,CA,TRAILER,87.163,89.724,53.763,83.049,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-82,CAM-1,1,KBW9727,NV,COMMERCIAL,KBW9727,NV,COMMERCIAL,90.030,87.746,52.921,83.665,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-83,CAM-1,1,MTQ7327,NM,TRAILER,MTQ7327,NM,GOV,87.736,86.045,49.485,81.407,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-84,CAM-1,1,XLI2767,NV,PASSENGER,XLI2367,NV,PASSENGER,91.267,85.963,52.683,83.623,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-85,CAM-1,1,DXU1354,NV,TEMP,DXU1354,NV,TEMP,89.133,82.819,50.611,81.145,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-86,CAM-1,1,GBW8968,CA,GOV,GBW8968,CA,GOV,92.997,87.138,50.138,84.517,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-87,CAM-1,1,LJG3552,TX,COMMERCIAL,LJG3552,TX,COMMERCIAL,95.069,88.240,51.744,86.180,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-88,CAM-1,1,AUK4146,NV,COMMERCIAL,AUK4146,NV,COMMERCIAL,89.721,86.659,52.402,83.051,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-89,CAM-1,1,PMT1981,FL,TRAILER,PMT1981,FL,PASSENGER,93.952,84.601,51.145,84.258,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-90,CAM-1,1,FYU3937,FL,TEMP,FYU3937,FL,TEMP,91.842,87.232,48.410,83.713,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-91,CAM-1,1,LIR0136,FL,GOV,LIR0136,FL,PASSENGER,87.427,84.320,49.978,80.722,81.000,47.000,83.745,78.847,43.067,review,auto_clear,dispute,type1,0
s0-c1-92,CAM-1,1,FZT9001,TX,COMMERCIAL,FZT9001,TX,COMMERCIAL,93.031,89.837,51.371,85.664,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-93,CAM-1,1,VXQ0876,CO,COMMERCIAL,VXQ0876,CO,COMMERCIAL,93.636,85.110,47.323,83.705,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-94,CAM-1,1,UBR2002,CO,PASSENGER,UBR2002,CO,PASSENGER,91.140,87.173,50.869,83.711,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-95,CAM-1,1,CHO1485,TX,GOV,CHO1485,TX,PASSENGER,90.569,90.887,49.131,84.464,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-96,CAM-1,1,EOG3026,TX,TRAILER,EOG3026,TX,TRAILER,94.304,90.022,50.877,86.291,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-97,CAM-1,1,LBC1577,NV,TRAILER,LBC1577,NV,TRAILER,90.971,82.106,50.736,81.833,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-98,CAM-1,1,DME2081,FL,PASSENGER,DME2081,FL,PASSENGER,89.327,91.972,53.230,84.838,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-99,CAM-1,1,KNT0846,CO,PASSENGER,KNT0846,CO,PASSENGER,89.061,83.599,49.719,81.248,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-100,CAM-1,1,DFT7442,FL,COMMERCIAL,DFT7442,FL,TEMP,91.859,84.687,50.383,83.127,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-101,CAM-1,1,RZX9798,NM,PASSENGER,RZX9798,NM,PASSENGER,94.927,87.574,52.435,85.980,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-102,CAM-1,1,NYG1618,TX,PASSENGER,NYG1618,TX,COMMERCIAL,88.063,88.375,49.531,82.392,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-103,CAM-1,1,PXT5553,AZ,GOV,PXT5553,AZ,COMMERCIAL,92.939,84.892,51.489,83.905,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-104,CAM-1,1,TPQ8273,OK,TEMP,TPQ8273,OK,PASSENGER,90.594,86.488,49.964,83.063,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-105,CAM-1,1,ZAO7257,TX,GOV,ZAO7257,TX,GOV,89.761,85.622,49.839,82.324,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-106,CAM-1,1,IUB9813,NV,TEMP,IUB9813,NV,COMMERCIAL,95.139,86.422,51.709,85.574,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-107,CAM-1,1,HYM1798,CO,GOV,HYM1798,CO,GOV,93.925,87.673,51.964,85.443,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-108,CAM-1,1,FYL9236,NV,TRAILER,FYL9236,NV,TRAILER,94.059,82.376,50.888,83.494,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-109,CAM-1,1,LBG7961,FL,TRAILER,LBG7961,FL,TRAILER,91.177,88.985,52.289,84.576,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-110,CAM-1,1,FWP9876,FL,TEMP,FWP9876,FL,TEMP,92.964,86.818,51.938,84.659,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-111,CAM-1,1,HHI0618,NM,PASSENGER,HHI0618,NM,GOV,90.656,88.267,50.040,83.727,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-112,CAM-1,1,PMP9105,OK,PASSENGER,PMP9105,OK,PASSENGER,92.479,87.260,49.984,84.278,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-113,CAM-1,1,MTW0746,CO,TEMP,MTW0746,CO,PASSENGER,93.784,87.307,54.168,85.575,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-114,CAM-1,1,TSR9610,NV,TRAILER,TSR9610,NV,TRAILER,87.941,87.224,50.852,82.127,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-115,CAM-1,1,IGW9200,AZ,TEMP,IGW9200,AZ,PASSENGER,94.362,86.087,55.240,85.597,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-116,CAM-1,1,FUO0773,AZ,GOV,FUO0773,AZ,COMMERCIAL,95.732,84.577,50.373,85.024,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-117,CAM-1,1,DYV7234,CO,PASSENGER,DYV7234,CO,PASSENGER,94.494,88.889,50.629,85.953,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-118,CAM-1,1,FLQ9421,FL,PASSENGER,FLQ9421,FL,TRAILER,91.487,84.792,52.158,83.244,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-119,CAM-1,1,NVN2820,OK,TEMP,NVN2820,OK,TEMP,92.636,89.748,52.146,85.552,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-120,CAM-1,1,ZCZ3576,CO,TEMP,ZCZ3576,CO,TEMP,88.621,88.236,53.242,83.180,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-121,CAM-1,1,SKK8641,FL,TEMP,SKK8641,FL,COMMERCIAL,91.687,88.312,51.542,84.484,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-122,CAM-1,1,ZIS2556,TX,TRAILER,ZIS2556,TX,TRAILER,91.130,86.894,54.062,84.087,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-123,CAM-1,1,RPL0015,OK,TEMP,RPL0015,OK,TEMP,87.916,86.933,50.534,81.965,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-124,CAM-1,1,TAP3390,OK,TRAILER,TAP3390,OK,TRAILER,92.539,87.940,47.611,84.190,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-125,CAM-1,1,MRG7100,AZ,COMMERCIAL,MRG7100,AZ,COMMERCIAL,93.919,87.471,51.684,85.327,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-126,CAM-1,1,UJC2355,CO,PASSENGER,UJC2355,CO,PASSENGER,91.219,84.802,50.221,82.823,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-127,CAM-1,1,LWC7143,OK,COMMERCIAL,LWC7143,OK,TRAILER,91.056,87.508,52.924,84.095,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-128,CAM-1,1,KYP3286,CO,GOV,KYP3286,CO,GOV,90.088,85.124,50.926,82.476,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-129,CAM-1,1,QLX1237,FL,PASSENGER,QLX1237,FL,GOV,96.148,91.286,50.030,87.529,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,dispute,type1,0
s0-c1-130,CAM-1,1,JWN8519,AZ,TRAILER,JWN8519,AZ,COMMERCIAL,96.256,86.544,54.126,86.537,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-131,CAM-1,1,EDN8135,FL,COMMERCIAL,EDN8135,FL,COMMERCIAL,91.492,84.096,51.349,82.882,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-132,CAM-1,1,QTI1835,CA,TRAILER,QTI1835,CA,TEMP,92.072,86.823,52.433,84.289,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-133,CAM-1,1,NZU4877,CO,GOV,NZU4877,CO,TRAILER,90.717,89.681,51.433,84.462,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,0
s0-c1-134,CAM-1,1,EPE2270,CA,PASSENGER,EPE2270,CA,PASSENGER,92.827,87.067,47.635,84.032,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
s0-c1-135,CAM-1,1,VSA4777,FL,COMMERCIAL,VSA4777,FL,COMMERCIAL,93.149,86.318,52.043,84.592,81.000,47.000,83.745,78.847,43.067,auto_clear,auto_clear,none,,1
